1,deltajed,katharyn
2,deltajed,katherib
3,deltajed,omarvarl
4,deltajed,mikeleil
5,deltajed,gellerti
6,deltajed,uleecame
7,deltajed,fernando
8,deltajed,astraeus
9,deltajed,aphrodit
10,katharyn,uleecame
11,katharyn,fernando
12,katharyn,astraeus
13,katherib,omarvarl
14,katherib,mikeleil
15,katherib,aphrodit
16,omarvarl,mikeleil
17,omarvarl,aphrodit
18,mikeleil,gellerti
19,mikeleil,aphrodit
20,gellerti,uleecame
21,gellerti,aphrodit
22,uleecame,fernando
23,fernando,astraeus
24,fernando,aphrodit
25,astraeus,aphrodit
