1,deltajed,katharyn
2,deltajed,katherib
3,deltajed,omarvarl
4,deltajed,mikeleil
5,deltajed,gellerti
6,deltajed,uleecame
7,deltajed,fernando
8,deltajed,astraeus
9,deltajed,aphrodit
10,katharyn,katherib
11,katharyn,omarvarl
12,katharyn,mikeleil
13,katharyn,gellerti
14,katharyn,uleecame
15,katharyn,fernando
16,katharyn,astraeus
17,katharyn,aphrodit
18,katherib,omarvarl
19,katherib,mikeleil
20,katherib,gellerti
21,katherib,uleecame
22,katherib,fernando
23,katherib,astraeus
24,katherib,aphrodit
25,omarvarl,mikeleil
26,omarvarl,gellerti
27,omarvarl,uleecame
28,omarvarl,fernando
29,omarvarl,astraeus
30,omarvarl,aphrodit
31,mikeleil,gellerti
32,mikeleil,uleecame
33,mikeleil,fernando
34,mikeleil,astraeus
35,mikeleil,aphrodit
36,gellerti,uleecame
37,gellerti,fernando
38,gellerti,astraeus
39,gellerti,aphrodit
40,uleecame,fernando
41,uleecame,astraeus
42,uleecame,aphrodit
43,fernando,astraeus
44,fernando,aphrodit
45,astraeus,aphrodit
